sequence,x,y,z,heading,roll,pitch
1568104742684007192,15.22756712342963,-46.15745242669193,0,1.5147030021986596,0,0
1568104742694108593,15.229023954048204,-46.131443225146576,0,1.5149805693274854,0,0
1568104742704184905,15.23047665414482,-46.10538053788087,0,1.5152482027123484,0,0
1568104742714803838,15.232007214225288,-46.07778690111966,0,1.5155203986078003,0,0
1568104742724532227,15.233409246564136,-46.05239274945459,0,1.515761018942799,0,0
1568104742734706240,15.234875496155368,-46.02571830345969,0,1.51600383698609,0,0
1568104742744578765,15.23629845146509,-45.999720043435296,0,1.5162309511355236,0,0
1568104742754693991,15.237756712417445,-45.97296610157769,0,1.5164550745343846,0,0
1568104742764649721,15.239192462979377,-45.94651898957458,0,1.5166673035303206,0,0
1568104742774420609,15.240602179443528,-45.92045211676217,0,1.5168676347086765,0,0
1568104742784101252,15.241999634423616,-45.89451792337173,0,1.517058442522469,0,0
1568104742794371238,15.243483155594252,-45.86688746963476,0,1.517252626230222,0,0
1568104742804273044,15.24491462078852,-45.84013326875861,0,1.5174319201149655,0,0
1568104742814314091,15.24636751127904,-45.812888423846864,0,1.5176058907181385,0,0
1568104742824497608,15.247842517898937,-45.7851395002868,0,1.5177743661041052,0,0
1568104742833734068,15.249181801648117,-45.75986900931533,0,1.517920325149658,0,0
1568104742843881103,15.250654867954744,-45.73199534271593,0,1.5180732585800603,0,0
1568104742854381118,15.252181281588303,-45.70302890464514,0,1.518223442031661,0,0
1568104742864190471,15.253609390812363,-45.675854809121624,0,1.5183564256732924,0,0
1568104742874279840,15.255080547640553,-45.647791314819315,0,1.5184859209920973,0,0
1568104742884423612,15.256562136650635,-45.619460448098785,0,1.5186087603497176,0,0
1568104742894100542,15.257978031066374,-45.59232514911279,0,1.518719158131156,0,0
1568104742904072081,15.259439735758782,-45.56425327865017,0,1.5188260672501177,0,0
1568104742914098406,15.260912400499993,-45.53591431025057,0,1.5189266384337095,0,0
1568104742924194239,15.262398408512567,-45.5072647009576,0,1.5190209753311303,0,0
