sequence,x,y,z,heading,roll,pitch
1517161708681158140,-292.39386242843915,-604.6870113272695,0,1.488572418501703,0,0
1517161708714585432,-292.3719267060139,-604.4208714315298,0,1.4885483247100126,0,0
1517161708748284834,-292.3497318366379,-604.1516683309975,0,1.4885231827637986,0,0
1517161708781034492,-292.32808501991855,-603.8891933650395,0,1.4884979367288893,0,0
1517161708814426935,-292.3059347799184,-603.6206991185999,0,1.488471377330519,0,0
1517161708848249352,-292.2834185288616,-603.3478586600276,0,1.4884436410954835,0,0
1517161708881603648,-292.2611343444513,-603.077922328411,0,1.4884154726719008,0,0
1517161708914420382,-292.2391322513313,-602.8114951438694,0,1.4883869736842703,0,0
1517161708981229268,-292.19410405938555,-602.2665350621613,0,1.4883265753856558,0,0
1517161709014413605,-292.17162080596916,-601.9945806112667,0,1.4882954010752447,0,0
1517161709046534559,-292.14978381484997,-601.730543096107,0,1.4882644908979645,0,0
1517161709081200762,-292.12613462961167,-601.4447070011646,0,1.488230326364032,0,0
1517161709113998775,-292.103681762825,-601.1734412456108,0,1.4881972391894012,0,0
1517161709148132759,-292.08023368320653,-600.8902693908773,0,1.488162021377409,0,0
1517161709214091331,-292.0346911795528,-600.3406247301685,0,1.4880917272483989,0,0
1517161709248029369,-292.0111385293844,-600.0565580927275,0,1.488054418068314,0,0
1517161709281051681,-291.9881435853863,-599.779343062755,0,1.4880173784762332,0,0
1517161709315732413,-291.9639112615858,-599.4873467686816,0,1.4879777012400113,0,0
1517161709348701442,-291.9407966001625,-599.2089501301247,0,1.4879392485989853,0,0
1517161709380391526,-291.9185066856437,-598.9406106834264,0,1.4879016177972697,0,0
1517161709414963933,-291.89410907657,-598.6470388347874,0,1.4878598200988817,0,0
1517161709448069641,-291.87066798757417,-598.3651176070998,0,1.4878190721493019,0,0
1517161709480051644,-291.8479496601769,-598.0920224774067,0,1.4877790391560315,0,0
1517161709547028763,-291.80014077970327,-597.5177526861327,0,1.4876930905729144,0,0
1517161709579818104,-291.7766211261431,-597.2354606061866,0,1.4876499795134508,0,0
1517161709613576517,-291.75232793316513,-596.9440395192103,0,1.4876048894872504,0,0
1517161709646568459,-291.72850948642173,-596.6584684547411,0,1.4875601360160426,0,0
1517161709679886818,-291.70437837498065,-596.3693069032406,0,1.4875142540171444,0,0
1517161709713273085,-291.6801205168193,-596.0787887639215,0,1.4874675908712134,0,0
1517161709747039498,-291.65550754004914,-595.784185601897,0,1.4874196998643552,0,0
1517161709780035025,-291.63137987596286,-595.4955572366024,0,1.4873722289171563,0,0
1517161709813177855,-291.6070683340095,-595.2048969736048,0,1.4873238793383248,0,0
1517161709846713409,-291.58239107927085,-594.9100382289698,0,1.4872742799727485,0,0
1517161709880470862,-291.55747173326995,-594.6124662334871,0,1.487223668015785,0,0
1517161709913498198,-291.5330148921572,-594.320594082786,0,1.4871734892157753,0,0
1517161709946477244,-291.50851841241524,-594.0284260833512,0,1.4871227338624269,0,0
1517161709980517591,-291.4831546540387,-593.7261025934451,0,1.487069666986779,0,0
